customer_id,similar_customer_id,cosine_similarity,common_products,customer_purchase_count,similar_customer_purchase_count
81db097ffce4bd958cfffeca7c41e301,d792207a143bca423ba1685b30e34557,1.0,2,3,3
5733010674adc0076bd5d41eb3703955,b4da3c8deec3e1c31023d39ba20bb40e,1.0,2,3,3
7228928ea2429a6e7ccd7efd24789266,763537fbd8173d949ea5b3da1d1461b7,1.0,2,3,3
89468b8994a62cb344e62ab6981a6451,af4a0bb895d2c8c821bd955648aca24e,1.0,2,4,2
2de521d3fd097acfbd5bed9c7b9ed0d0,58b9df3491d94885a911b85e507c75d1,1.0,2,2,2
7b0c9f0a6a8fa1274c38050fc3f57c8d,e53454696deadacfdbaffb91e29b1ca9,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,46f15c2526277c2f9cfa6b239dfb11b3,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,65d7c0904b51f5b432e71a14b25121dc,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,6e6fdec52c6dbf58721bf7a4eaf5b679,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,7973a6ba9c81ecaeb3d628c33c7c7c48,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,7b32049d8495d56c8b27eae575921a60,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
2b5c14b7e1a3d88ff7e0c46e15851f5f,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,65d7c0904b51f5b432e71a14b25121dc,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,6e6fdec52c6dbf58721bf7a4eaf5b679,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,7973a6ba9c81ecaeb3d628c33c7c7c48,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,7b32049d8495d56c8b27eae575921a60,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
46f15c2526277c2f9cfa6b239dfb11b3,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,6e6fdec52c6dbf58721bf7a4eaf5b679,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,7973a6ba9c81ecaeb3d628c33c7c7c48,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,7b32049d8495d56c8b27eae575921a60,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
65d7c0904b51f5b432e71a14b25121dc,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
6a64e2cf94a5779760698c1e25a2852a,ae52fa61f27bd494a25bc4c101fa29d0,1.0,2,2,2
6a64e2cf94a5779760698c1e25a2852a,e8569c57efe3adf347b3e92ec04d1f91,1.0,2,2,2
6a64e2cf94a5779760698c1e25a2852a,fa0cf5b25732a933725b83d2f716000a,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,7973a6ba9c81ecaeb3d628c33c7c7c48,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,7b32049d8495d56c8b27eae575921a60,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
6e6fdec52c6dbf58721bf7a4eaf5b679,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,7b32049d8495d56c8b27eae575921a60,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
7973a6ba9c81ecaeb3d628c33c7c7c48,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
7b32049d8495d56c8b27eae575921a60,b65b4e0ccf23f096b3eb8bce350a400a,1.0,2,2,2
7b32049d8495d56c8b27eae575921a60,d7c6bdf20c4ec9c9cda815dde58e778a,1.0,2,2,2
7b32049d8495d56c8b27eae575921a60,df9bd60da4a8f8945d2b862aebd3d418,1.0,2,2,2
7b32049d8495d56c8b27eae575921a60,e8fee231a8a4901e2b0b5a2324eb1405,1.0,2,2,2
7b32049d8495d56c8b27eae575921a60,fda3a3eb3370c1295a4fc3f6cd3d7604,1.0,2,2,2
ae52fa61f27bd494a25bc4c101fa29d0,e8569c57efe3adf347b3e92ec04d1f91,1.0,2,2,2
